Player,Elo Rank,Age,Elo,    ,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,    ,Peak Elo,Peak Month,    ,ATP Rank,Log diff,yElo
Rafael Nadal,33,38.4,1868.6,,42,1775.2,22,1835.9,48,1684.3,,2361.9,2009-05,,,,
Jordan Thompson,34,30.9,1867.1,,32,1829.1,109,1643.7,20,1772.4,,1891.2,2024-12,,41,-0.19,1760.5
Alex Michelsen,35,20.6,1864.1,,35,1812.1,73,1706.8,34,1721.7,,1904.8,2025-01,,32,0.09,1840.6
Matteo Arnaldi,36,24.1,1860.9,,37,1805.7,26,1809.7,54,1672.2,,1902.9,2024-06,,37,-0.03,1872.7
Frances Tiafoe,37,27.2,1852.2,,36,1805.8,33,1774.0,23,1747.5,,1974.0,2023-06,,16,0.84,1805.3
Felix Auger Aliassime,38,24.7,1849.3,,33,1825.9,30,1790.5,40,1708.1,,2062.7,2022-10,,27,0.34,1706.6
Jacob Fearnley,39,23.7,1843.0,,40,1782.3,69,1713.2,37,1716.6,,1910.0,2024-10,,57,-0.38,1834.6
Brandon Nakashima,40,23.7,1834.9,,39,1796.5,46,1749.9,32,1723.6,,1909.5,2024-09,,29,0.32,1815.0
Marcos Giron,41,31.7,1834.3,,38,1797.9,89,1672.8,22,1756.0,,1874.1,2025-03,,45,-0.09,1776.2
Alexei Popyrin,42,25.7,1826.7,,46,1773.0,41,1760.2,50,1683.2,,1902.2,2024-10,,25,0.52,1663.6
Nuno Borges,43,28.1,1823.8,,44,1775.0,32,1777.0,99,1595.9,,1843.6,2025-03,,40,0.07,1816.7
Jenson Brooksby,44,24.4,1819.9,,43,1775.1,49,1746.6,51,1679.3,,2005.3,2022-03,,166,-1.33,1738.1
Colton Smith,45,22.0,1817.5,,48,1757.4,117,1621.0,88,1608.7,,1835.1,2025-03,,162,-1.28,1846.7
Zizou Bergs,46,25.8,1813.6,,41,1779.3,65,1716.1,46,1688.6,,1859.2,2025-03,,50,-0.08,1777.7
Hamad Medjedovic,47,21.7,1812.7,,45,1773.3,47,1749.4,61,1654.2,,1844.3,2025-04,,72,-0.43,1811.5
Flavio Cobolli,48,22.9,1808.0,,65,1728.9,36,1768.2,86,1610.3,,1889.7,2024-12,,34,0.34,1755.9
Borna Coric,49,28.4,1805.8,,51,1749.7,35,1769.8,57,1666.0,,2011.6,2019-01,,84,-0.54,1895.6
Gabriel Diallo,50,23.5,1804.6,,57,1743.0,51,1740.1,103,1585.0,,1812.3,2025-04,,54,-0.08,1831.5
Yoshihito Nishioka,51,29.4,1802.8,,47,1764.6,81,1687.4,68,1643.1,,1884.7,2023-01,,74,-0.37,1804.1
Miomir Kecmanovic,52,25.6,1800.7,,52,1748.1,52,1739.1,58,1665.5,,1900.6,2022-04,,47,0.10,1788.4
Fabian Marozsan,53,25.5,1799.9,,61,1736.9,61,1724.2,96,1599.5,,1867.2,2024-04,,61,-0.14,1801.4
Laslo Djere,54,29.8,1795.4,,76,1697.2,29,1791.5,89,1608.3,,1854.6,2023-09,,64,-0.17,1866.1
Roman Safiullin,55,27.7,1792.6,,50,1752.1,63,1720.2,41,1699.0,,1911.3,2024-01,,77,-0.34,1702.8
Reilly Opelka,56,27.6,1791.2,,49,1756.0,54,1732.6,70,1637.4,,1927.5,2022-04,,94,-0.52,1777.7
Ethan Quinn,57,21.1,1790.9,,71,1716.9,110,1637.1,74,1623.5,,1802.5,2025-04,,114,-0.69,1844.5
Marin Cilic,58,36.5,1786.5,,59,1740.4,55,1731.3,24,1742.7,,2100.4,2010-02,,109,-0.63,1691.1
Alexander Bublik,59,27.8,1785.9,,67,1727.9,66,1715.7,25,1739.3,,1904.1,2024-02,,76,-0.25,1817.7
Kamil Majchrzak,60,29.2,1783.7,,70,1717.7,40,1760.4,47,1684.7,,1810.1,2025-04,,89,-0.39,1809.7
David Goffin,61,34.3,1782.6,,60,1740.2,60,1725.9,33,1723.4,,2048.7,2017-04,,48,0.24,1702.9
Juncheng Shang,62,19.9,1781.5,,63,1733.3,97,1658.1,55,1668.6,,1895.7,2024-09,,67,-0.08,1648.0
Kei Nishikori,63,35.3,1779.8,,53,1745.3,101,1652.8,73,1624.1,,2194.2,2016-08,,62,0.02,1760.5
Marton Fucsovics,64,33.1,1777.5,,66,1728.5,56,1731.3,35,1719.5,,1924.2,2021-03,,134,-0.74,1726.3
Christopher Oconnell,65,30.8,1777.2,,58,1740.8,78,1689.6,59,1659.0,,1814.1,2025-03,,81,-0.22,1736.2
Cameron Norrie,66,29.6,1773.2,,64,1732.0,42,1758.0,45,1689.7,,2028.6,2022-08,,91,-0.32,1734.6
Roberto Bautista Agut,67,37.0,1772.5,,72,1713.5,59,1726.8,29,1732.2,,2033.8,2016-02,,56,0.18,1605.8
Giovanni Mpetshi Perricard,68,21.7,1771.7,,56,1743.8,105,1650.6,43,1696.4,,1862.8,2024-12,,36,0.64,1646.8
Lorenzo Sonego,69,29.9,1770.8,,62,1733.9,75,1701.5,60,1656.4,,1895.3,2021-05,,44,0.45,1718.9
Alexandre Muller,70,28.2,1768.3,,81,1691.7,53,1735.6,102,1590.4,,1780.8,2025-02,,39,0.58,1795.6
Sebastian Baez,71,24.3,1765.5,,130,1610.3,31,1785.8,130,1553.3,,1941.4,2022-07,,33,0.77,1746.3
Pablo Carreno Busta,72,33.7,1762.1,,54,1744.4,50,1742.0,111,1578.8,,2005.1,2021-08,,98,-0.31,1679.4
Quentin Halys,73,28.4,1760.2,,69,1720.1,88,1674.5,44,1695.1,,1811.4,2023-04,,52,0.34,1724.9
Lucas Pouille,74,30.9,1758.9,,73,1711.4,83,1680.8,49,1683.7,,1987.7,2017-06,,113,-0.42,1651.6
Learner Tien,75,19.3,1757.6,,55,1744.0,206,1507.0,112,1578.8,,1888.2,2025-02,,70,0.07,1702.1
Jason Kubler,76,31.9,1755.8,,74,1702.8,95,1659.7,38,1715.0,,1790.0,2022-07,,232,-1.12,1797.9
Mariano Navone,77,24.1,1755.4,,151,1579.1,45,1750.4,172,1514.1,,1875.9,2024-04,,99,-0.25,1783.6
Luciano Darderi,78,23.1,1754.3,,197,1523.8,43,1753.9,121,1563.4,,1857.0,2024-06,,46,0.53,1797.1
Alejandro Tabilo,79,27.8,1750.5,,83,1689.6,67,1714.5,53,1673.7,,1895.7,2024-07,,42,0.63,1635.2
Tomas Martin Etcheverry,80,25.7,1750.5,,85,1686.4,57,1731.0,144,1537.9,,1871.7,2023-05,,51,0.45,1683.6
Raphael Collignon,81,23.2,1748.2,,82,1691.3,71,1708.4,113,1578.6,,1777.6,2025-04,,86,-0.06,1754.5
Jan Lennard Struff,82,34.9,1740.1,,93,1659.7,62,1722.7,69,1637.7,,1935.1,2024-07,,87,-0.06,1563.4
Roberto Carballes Baena,83,32.0,1740.0,,90,1672.8,68,1714.5,119,1566.1,,1788.1,2024-07,,59,0.34,1659.0
Stan Wawrinka,84,40.0,1738.9,,79,1693.6,76,1701.1,77,1620.3,,2145.5,2016-01,,132,-0.45,1717.9
Camilo Ugo Carabelli,85,25.8,1737.6,,124,1621.0,64,1717.0,181,1507.0,,1762.2,2025-04,,60,0.35,1761.1
Benjamin Bonzi,86,28.8,1732.7,,75,1697.4,121,1613.9,65,1644.4,,1835.8,2022-06,,58,0.39,1622.0
Borna Gojo,87,27.1,1729.7,,84,1687.1,85,1679.2,175,1512.5,,1800.2,2023-10,,252,-1.06,1715.8
Nicolas Jarry,88,29.5,1728.9,,87,1683.1,74,1704.6,71,1630.4,,1903.0,2023-10,,53,0.51,1597.0
Jaume Munar,89,27.9,1728.9,,91,1671.1,82,1686.6,146,1535.5,,1819.0,2021-04,,66,0.30,1678.4
Zhizhen Zhang,90,28.3,1727.2,,96,1650.9,58,1728.4,80,1614.6,,1830.9,2024-09,,55,0.49,1598.0
Francisco Comesana,91,24.5,1726.5,,132,1608.5,72,1707.3,82,1612.2,,1733.8,2025-04,,63,0.37,1780.4
Corentin Moutet,92,26.0,1726.3,,86,1684.4,90,1671.7,78,1616.6,,1830.6,2022-09,,83,0.10,1667.6
Daniel Altmaier,93,26.6,1721.5,,98,1648.9,80,1688.7,133,1549.0,,1789.1,2021-08,,71,0.27,1770.3
Dominik Koepfer,94,30.7,1719.9,,92,1669.9,70,1712.3,81,1613.0,,1822.7,2024-03,,199,-0.75,1561.7
Botic Van De Zandschulp,95,29.5,1719.7,,78,1695.2,104,1650.9,97,1599.0,,1938.0,2022-09,,85,0.11,1625.1
Yibing Wu,96,25.4,1716.2,,77,1697.1,136,1592.7,141,1544.7,,1882.9,2023-03,,448,-1.54,
Nishesh Basavareddy,97,19.9,1715.6,,68,1720.4,204,1511.6,127,1557.8,,1856.6,2025-01,,100,-0.03,1650.0
Bu Yunchaokete,98,23.2,1715.2,,88,1680.8,154,1569.4,143,1538.3,,1834.9,2024-09,,73,0.29,1661.2
Elmer Moller,99,21.7,1708.4,,177,1539.7,77,1693.1,92,1604.2,,1741.1,2025-04,,111,-0.11,1742.7
Damir Dzumhur,100,32.9,1708.3,,106,1638.0,79,1689.5,93,1602.4,,1895.8,2017-09,,69,0.37,1779.3
Vit Kopriva,101,27.8,1705.3,,118,1627.1,91,1670.9,85,1611.7,,1722.9,2025-04,,92,0.09,1736.3
Mackenzie Mcdonald,102,30.0,1705.2,,80,1692.9,169,1549.5,79,1616.6,,1847.6,2023-03,,96,0.06,1632.5
Max Purcell,103,26.3,1702.6,,105,1638.9,181,1539.3,64,1645.3,,1789.1,2023-08,,146,-0.35,
Adam Walton,104,26.0,1701.4,,94,1659.7,239,1462.1,125,1559.4,,1747.1,2025-04,,88,0.17,1708.7
Aleksandar Kovacevic,105,26.6,1697.7,,89,1675.2,198,1519.1,147,1535.5,,1758.8,2024-04,,80,0.27,1725.1
Cristian Garin,106,28.8,1697.3,,110,1634.0,86,1678.9,63,1647.7,,1889.6,2019-04,,153,-0.37,1754.0
Arthur Cazaux,107,22.5,1691.5,,95,1653.9,180,1540.0,116,1574.2,,1806.5,2024-02,,116,-0.08,1600.2
Yosuke Watanuki,108,27.0,1690.9,,97,1649.8,116,1622.3,83,1612.1,,1798.2,2023-05,,189,-0.56,1667.6
Pedro Martinez,109,27.9,1685.1,,129,1610.7,87,1678.4,217,1478.5,,1844.3,2022-04,,49,0.80,1609.7
Soon Woo Kwon,110,27.3,1683.5,,100,1646.6,135,1594.9,120,1565.8,,1830.7,2023-01,,504,-1.52,
Arthur Rinderknech,111,29.7,1682.0,,108,1637.6,103,1651.2,137,1547.2,,1869.2,2022-10,,75,0.39,1582.3
Marc Andrea Huesler,112,28.7,1680.9,,102,1646.1,122,1613.3,107,1582.4,,1817.0,2023-02,,156,-0.33,1707.6
Dalibor Svrcina,113,22.5,1680.6,,99,1648.8,119,1617.9,182,1504.6,,1712.9,2025-04,,128,-0.12,1728.4
Dusan Lajovic,114,34.8,1679.8,,139,1592.2,84,1679.6,195,1495.4,,1854.6,2018-10,,131,-0.14,1642.5
Valentin Royer,115,23.8,1679.7,,158,1568.4,93,1664.0,162,1521.5,,1715.0,2025-04,,117,-0.02,1699.2
Emil Ruusuvuori,116,26.0,1676.7,,101,1646.4,120,1614.8,84,1611.8,,1893.2,2023-06,,235,-0.71,1446.3
Hugo Gaston,117,24.5,1675.5,,116,1628.1,99,1655.0,108,1581.3,,1795.1,2021-11,,78,0.41,1640.4
Valentin Vacherot,118,26.4,1675.4,,136,1599.7,94,1660.8,167,1517.0,,1740.8,2024-03,,262,-0.80,1671.7
Sebastian Ofner,119,28.9,1672.6,,112,1633.6,112,1636.0,94,1601.7,,1812.7,2024-01,,143,-0.18,1592.3
Francesco Passaro,120,24.1,1672.2,,148,1580.1,102,1652.7,186,1501.5,,1779.0,2022-08,,101,0.17,1662.5
Aleksandar Vukic,121,29.0,1670.2,,113,1631.4,149,1573.5,75,1623.3,,1773.3,2025-01,,79,0.43,1550.0
Andrea Vavassori,122,29.9,1669.5,,107,1637.7,115,1631.5,153,1528.8,,1734.8,2023-04,,305,-0.92,1641.2
Emilio Nava,123,23.3,1669.5,,181,1538.1,92,1668.7,168,1515.7,,1713.5,2025-04,,137,-0.11,1747.5
Diego Schwartzman,124,32.4,1668.6,,103,1643.9,96,1659.4,123,1561.5,,1979.6,2020-11,,438,-1.26,
Brandon Holt,125,27.0,1668.6,,109,1637.2,260,1445.5,154,1528.8,,1725.5,2025-02,,104,0.18,1672.6
Jesper De Jong,126,24.8,1668.5,,135,1600.7,106,1648.1,155,1528.8,,1721.9,2024-10,,93,0.30,1654.4
Aslan Karatsev,127,31.6,1665.4,,121,1622.5,100,1654.9,174,1513.4,,1964.6,2021-05,,191,-0.41,1551.2
Juan Manuel Cerundolo,128,23.4,1665.2,,200,1519.8,107,1646.7,221,1475.6,,1774.8,2021-10,,115,0.11,1721.2
Alexander Blockx,129,20.0,1662.7,,122,1622.1,150,1573.5,151,1531.4,,1743.2,2025-01,,145,-0.12,1637.7
Tristan Schoolkate,130,24.1,1662.6,,117,1627.2,306,1407.4,135,1548.5,,1680.4,2025-04,,129,0.01,1709.8
Lloyd Harris,131,28.1,1662.6,,120,1623.9,187,1532.6,62,1653.6,,1896.0,2021-10,,224,-0.54,
Leandro Riedi,132,22.5,1661.3,,125,1616.3,151,1572.9,91,1604.5,,1823.3,2023-01,,373,-1.04,
Fabio Fognini,133,37.9,1659.7,,144,1587.1,98,1656.6,72,1628.9,,2003.8,2014-04,,107,0.22,1460.0
Terence Atmane,134,23.2,1659.6,,115,1629.3,147,1576.2,161,1522.8,,1707.1,2023-10,,119,0.12,1726.1
Rinky Hijikata,135,24.1,1659.5,,104,1642.4,296,1415.8,115,1575.7,,1744.9,2025-01,,82,0.50,1581.8
Mattia Bellucci,136,23.8,1654.2,,126,1614.8,170,1548.6,90,1608.3,,1814.3,2024-10,,68,0.69,1578.4
Pierre Hugues Herbert,137,34.0,1652.2,,119,1624.8,143,1582.4,114,1576.7,,1867.9,2019-06,,148,-0.08,1704.7
Richard Gasquet,138,38.8,1651.6,,128,1613.6,127,1609.4,98,1596.7,,2059.5,2016-05,,160,-0.15,1606.1
Luca Nardi,139,21.7,1650.9,,127,1614.5,142,1584.1,222,1475.3,,1724.6,2024-04,,95,0.38,1629.0
Kyrian Jacquet,140,23.9,1649.4,,111,1633.8,159,1564.7,191,1499.6,,1735.1,2025-02,,150,-0.07,1641.8
Eliot Spizzirri,141,23.3,1649.3,,114,1631.4,176,1543.2,150,1532.6,,1714.6,2025-04,,121,0.15,1640.2
Thiago Monteiro,142,30.8,1642.7,,149,1579.4,114,1633.9,163,1521.2,,1748.2,2024-05,,106,0.29,1568.2
Zsombor Piros,143,25.5,1642.6,,161,1564.5,118,1619.2,117,1570.2,,1731.0,2023-04,,204,-0.36,1746.4
Nicolas Moreno De Alboran,144,27.7,1642.4,,123,1621.8,146,1576.7,173,1513.6,,1687.7,2024-11,,149,-0.03,
Facundo Bagnis,145,35.1,1641.9,,190,1529.3,113,1634.8,349,1396.5,,1737.0,2021-07,,658,-1.51,
Harold Mayot,146,23.2,1640.5,,152,1578.1,130,1602.0,101,1594.1,,1701.9,2024-06,,144,0.01,1642.3
Felipe Meligeni Alves,147,27.1,1637.5,,216,1502.0,111,1636.4,109,1580.9,,1695.3,2023-10,,123,0.18,1690.9
Hugo Dellien,148,31.8,1634.0,,214,1503.3,125,1611.1,211,1482.2,,1779.8,2022-05,,103,0.36,1611.1
Facundo Diaz Acosta,149,24.1,1632.7,,185,1533.7,108,1646.1,241,1459.5,,1791.9,2024-02,,201,-0.30,1545.4
Yannick Hanfmann,150,33.4,1632.5,,146,1583.9,123,1612.5,148,1535.0,,1843.4,2023-06,,125,0.18,1512.7
James Duckworth,151,33.2,1632.3,,147,1583.9,179,1540.7,95,1601.2,,1785.9,2021-11,,90,0.52,1589.4
Daniel Elahi Galan,152,28.8,1630.4,,170,1552.6,132,1600.8,110,1580.2,,1757.5,2022-09,,124,0.20,1644.1
Christopher Eubanks,153,28.9,1629.4,,150,1579.4,223,1481.5,76,1622.2,,1864.8,2023-07,,110,0.33,1543.0
Alex Molcan,154,26.7,1627.7,,133,1608.3,128,1602.6,126,1558.5,,1872.5,2022-07,,505,-1.19,
Matteo Gigante,155,23.2,1625.2,,155,1574.5,145,1578.2,149,1532.7,,1644.9,2025-04,,164,-0.06,1666.1
Tomas Barrios Vera,156,27.3,1624.8,,223,1496.1,124,1611.8,129,1553.9,,1710.3,2023-07,,118,0.28,1659.8
Filip Misolic,157,23.7,1624.6,,163,1563.1,140,1586.4,225,1472.9,,1720.3,2023-11,,180,-0.14,1666.8
Michael Mmoh,158,27.2,1623.7,,134,1602.8,209,1505.9,157,1528.7,,1762.3,2017-02,,340,-0.77,1528.9
Pavel Kotov,159,26.4,1623.3,,157,1572.2,133,1600.6,152,1529.2,,1797.1,2024-05,,136,0.16,1536.3
Jerome Kym,160,22.1,1623.3,,159,1566.6,137,1591.8,176,1511.6,,1738.0,2024-10,,127,0.23,1528.6
Liam Draxl,161,23.3,1622.9,,142,1588.9,163,1556.8,178,1511.5,,1653.0,2025-03,,142,0.13,1630.9
Jaime Faria,162,21.7,1621.6,,186,1533.7,126,1609.9,220,1477.3,,1692.5,2024-05,,108,0.41,1595.6
Alibek Kachmazov,163,22.6,1621.5,,140,1591.5,233,1471.6,124,1560.7,,1637.6,2025-04,,161,0.01,1646.0
Nikoloz Basilashvili,164,33.1,1618.0,,137,1597.3,158,1565.9,105,1583.2,,1889.8,2019-01,,157,0.04,1549.4
Tristan Boyer,165,24.0,1615.6,,145,1585.3,139,1589.1,201,1487.9,,1753.1,2025-01,,122,0.30,1541.3
Federico Coria,166,33.0,1612.7,,228,1487.0,134,1597.1,326,1408.0,,1754.4,2021-07,,141,0.16,1593.4
Adrian Mannarino,167,36.8,1609.5,,141,1591.0,218,1489.3,87,1609.8,,1896.3,2018-01,,126,0.28,1392.8
Arthur Bouquier,168,24.3,1608.6,,131,1609.3,328,1389.2,183,1504.3,,1732.0,2025-03,,200,-0.17,1660.2
Daniel Evans,169,34.9,1601.0,,138,1596.0,189,1532.2,106,1582.8,,1902.5,2021-04,,190,-0.12,1392.9
Alexander Shevchenko,170,24.3,1600.6,,156,1573.3,165,1554.7,230,1467.3,,1792.0,2024-02,,97,0.56,1540.2
Vilius Gaubas,171,20.3,1600.2,,246,1471.6,141,1586.3,132,1550.1,,1655.0,2024-08,,154,0.10,1650.8
Carlos Taberner,172,27.6,1599.4,,267,1448.6,138,1591.8,249,1448.3,,1725.0,2021-10,,139,0.21,1667.8
Andrea Pellegrino,173,28.0,1599.0,,303,1407.2,148,1573.7,286,1432.3,,1637.7,2023-10,,167,0.04,1737.8
Ignacio Buse,174,21.0,1598.4,,326,1388.1,129,1602.3,192,1499.2,,1632.4,2024-09,,171,0.02,1634.2
Thiago Seyboth Wild,175,25.1,1598.3,,143,1587.4,156,1566.0,158,1528.2,,1793.4,2024-05,,120,0.38,1404.1
Gregoire Barrere,176,31.1,1595.5,,169,1553.5,155,1569.3,128,1557.1,,1804.5,2020-02,,222,-0.23,1498.2
Lukas Klein,177,27.0,1594.9,,153,1578.0,178,1541.3,139,1545.3,,1777.5,2024-03,,210,-0.17,1464.2
Hady Habib,178,26.6,1592.8,,175,1545.5,193,1526.4,138,1546.4,,1615.8,2018-09,,159,0.11,1609.7
Thiago Agustin Tirante,179,24.0,1591.8,,167,1559.0,167,1551.2,185,1502.8,,1672.2,2021-09,,133,0.30,1594.9
Maximilian Marterer,180,29.6,1590.7,,187,1533.7,144,1580.4,131,1551.5,,1815.1,2018-06,,215,-0.18,
Giulio Zeppieri,181,23.3,1590.2,,154,1575.0,182,1538.9,196,1493.6,,1691.2,2022-07,,344,-0.64,1494.4
J J Wolf,182,26.1,1586.4,,171,1551.2,172,1546.3,156,1528.8,,1847.7,2023-02,,285,-0.45,1546.8
Constant Lestienne,183,32.9,1585.7,,172,1547.5,258,1447.3,212,1481.8,,1781.3,2023-01,,184,-0.01,1506.2
Taro Daniel,184,32.2,1582.8,,164,1562.6,186,1533.0,209,1482.8,,1766.8,2023-04,,138,0.29,1330.4
Mikhail Kukushkin,185,37.3,1582.7,,178,1539.3,175,1544.0,122,1562.4,,1864.2,2010-10,,165,0.11,1522.3
Kyle Edmund,186,29.8,1582.6,,162,1563.7,152,1572.0,180,1508.4,,1952.7,2019-03,,512,-1.01,
Gustavo Heide,187,22.9,1581.7,,262,1454.0,153,1571.6,238,1460.3,,1661.1,2024-07,,182,0.03,1584.2
Roman Andres Burruchaga,188,23.2,1581.0,,237,1480.0,157,1566.0,160,1523.6,,1669.3,2024-05,,135,0.33,1573.6
Otto Virtanen,189,23.8,1580.7,,165,1561.2,267,1439.8,134,1549.0,,1768.8,2024-03,,130,0.37,1440.4
Dino Prizmic,190,19.6,1580.0,,166,1559.6,188,1532.6,202,1486.1,,1719.0,2023-09,,334,-0.56,1510.2
Chun Hsin Tseng,191,23.7,1576.3,,213,1503.8,160,1563.6,293,1429.3,,1715.6,2022-04,,102,0.63,1609.9
Luca Van Assche,192,20.9,1573.2,,160,1566.3,184,1535.9,190,1499.8,,1801.5,2023-04,,211,-0.09,1504.2
Seong Chan Hong,193,27.2,1573.0,,176,1543.3,261,1444.7,346,1397.6,,1613.7,2024-04,,315,-0.49,
Albert Ramos,194,37.2,1573.0,,182,1536.9,185,1533.7,287,1431.8,,1889.0,2017-04,,259,-0.29,1532.3
Shintaro Mochizuki,195,21.8,1570.2,,192,1527.3,162,1557.6,214,1480.4,,1625.3,2024-06,,155,0.23,1580.3
Daniel Rincon,196,22.2,1569.7,,198,1522.1,191,1529.2,317,1414.1,,1613.8,2023-09,,212,-0.08,1599.0
Mark Lajal,197,21.9,1568.3,,174,1545.6,277,1432.2,100,1594.9,,1668.0,2023-06,,217,-0.10,1524.7
Billy Harris,198,30.2,1567.5,,168,1554.0,289,1420.8,104,1583.6,,1711.4,2024-06,,105,0.63,1536.5
Hugo Grenier,199,29.0,1566.9,,189,1530.3,256,1449.0,165,1519.0,,1734.0,2022-09,,172,0.15,1536.5
Liam Broady,200,30.6,1566.1,,183,1535.1,245,1458.7,194,1496.4,,1757.4,2022-03,,632,-1.15,
Ricardas Berankis,201,34.8,1564.0,,202,1519.0,161,1558.3,159,1527.9,,1842.4,2011-02,,294,-0.38,1527.4
Norbert Gombos,202,34.6,1563.3,,194,1525.0,174,1544.4,234,1463.1,,1753.2,2020-11,,328,-0.48,1606.7
Alexis Galarneau,203,26.1,1562.5,,179,1538.9,250,1451.6,203,1485.9,,1631.5,2024-04,,202,0,1538.4
Lukas Neumayer,204,22.6,1562.2,,334,1381.5,166,1552.6,251,1448.1,,1594.5,2024-12,,179,0.13,1560.3
Sumit Nagal,205,27.6,1560.2,,205,1515.3,164,1555.9,281,1435.0,,1745.2,2019-09,,169,0.19,1468.4
Alexander Ritschard,206,31.0,1556.4,,250,1467.8,131,1601.1,208,1483.5,,1695.9,2024-07,,158,0.27,1414.9
Ilia Simakin,207,21.4,1555.7,,195,1524.8,333,1387.8,218,1477.8,,1587.6,2025-04,,264,-0.24,1588.2
Yasutaka Uchiyama,208,32.7,1555.3,,203,1517.5,318,1398.2,215,1479.9,,1727.5,2019-10,,205,0.01,1538.8
Chris Rodesch,209,23.7,1555.3,,235,1481.2,202,1513.1,219,1477.7,,1593.7,2025-04,,178,0.16,1582.5
