rank,player,country,birthdate,player_url
1,Jannik Sinner,ITA,2001-08-16,https://www.tennisabstract.com/cgi-bin/player.cgi?p=JannikSinner
2,Carlos Alcaraz,ESP,2003-05-05,https://www.tennisabstract.com/cgi-bin/player.cgi?p=CarlosAlcaraz
3,Alexander Zverev,GER,1997-04-20,https://www.tennisabstract.com/cgi-bin/player.cgi?p=AlexanderZverev
4,Taylor Fritz,USA,1997-10-28,https://www.tennisabstract.com/cgi-bin/player.cgi?p=TaylorFritz
5,Jack Draper,GBR,2001-12-22,https://www.tennisabstract.com/cgi-bin/player.cgi?p=JackDraper
6,Novak Djokovic,SRB,1987-05-22,https://www.tennisabstract.com/cgi-bin/player.cgi?p=NovakDjokovic
7,Lorenzo Musetti,ITA,2002-03-03,https://www.tennisabstract.com/cgi-bin/player.cgi?p=LorenzoMusetti
8,Ben Shelton,USA,2002-10-09,https://www.tennisabstract.com/cgi-bin/player.cgi?p=BenShelton
9,Holger Rune,DEN,2003-04-29,https://www.tennisabstract.com/cgi-bin/player.cgi?p=HolgerRune
10,Andrey Rublev,RUS,1997-10-20,https://www.tennisabstract.com/cgi-bin/player.cgi?p=AndreyRublev
11,Frances Tiafoe,USA,1998-01-20,https://www.tennisabstract.com/cgi-bin/player.cgi?p=FrancesTiafoe
12,Casper Ruud,NOR,1998-12-22,https://www.tennisabstract.com/cgi-bin/player.cgi?p=CasperRuud
13,Alex De Minaur,AUS,1999-02-17,https://www.tennisabstract.com/cgi-bin/player.cgi?p=AlexDeMinaur
14,Daniil Medvedev,RUS,1996-02-11,https://www.tennisabstract.com/cgi-bin/player.cgi?p=DaniilMedvedev
15,Tommy Paul,USA,1997-05-17,https://www.tennisabstract.com/cgi-bin/player.cgi?p=TommyPaul
16,Karen Khachanov,RUS,1996-05-21,https://www.tennisabstract.com/cgi-bin/player.cgi?p=KarenKhachanov
17,Jakub Mensik,CZE,2005-09-01,https://www.tennisabstract.com/cgi-bin/player.cgi?p=JakubMensik
18,Flavio Cobolli,ITA,2002-05-06,https://www.tennisabstract.com/cgi-bin/player.cgi?p=FlavioCobolli
19,Francisco Cerundolo,ARG,1998-08-13,https://www.tennisabstract.com/cgi-bin/player.cgi?p=FranciscoCerundolo
20,Grigor Dimitrov,BUL,1991-05-16,https://www.tennisabstract.com/cgi-bin/player.cgi?p=GrigorDimitrov
21,Arthur Fils,FRA,2004-06-12,https://www.tennisabstract.com/cgi-bin/player.cgi?p=ArthurFils
22,Tomas Machac,CZE,2000-10-13,https://www.tennisabstract.com/cgi-bin/player.cgi?p=TomasMachac
23,Ugo Humbert,FRA,1998-06-26,https://www.tennisabstract.com/cgi-bin/player.cgi?p=UgoHumbert
24,Alexei Popyrin,AUS,1999-08-05,https://www.tennisabstract.com/cgi-bin/player.cgi?p=AlexeiPopyrin
25,Jiri Lehecka,CZE,2001-11-08,https://www.tennisabstract.com/cgi-bin/player.cgi?p=JiriLehecka
26,Alejandro Davidovich Fokina,ESP,1999-06-05,https://www.tennisabstract.com/cgi-bin/player.cgi?p=AlejandroDavidovichFokina
27,Felix Auger Aliassime,CAN,2000-08-08,https://www.tennisabstract.com/cgi-bin/player.cgi?p=FelixAugerAliassime
28,Denis Shapovalov,CAN,1999-04-15,https://www.tennisabstract.com/cgi-bin/player.cgi?p=DenisShapovalov
29,Stefanos Tsitsipas,GRE,1998-08-12,https://www.tennisabstract.com/cgi-bin/player.cgi?p=StefanosTsitsipas
30,Alexander Bublik,KAZ,1997-06-17,https://www.tennisabstract.com/cgi-bin/player.cgi?p=AlexanderBublik
31,Tallon Griekspoor,NED,1996-07-02,https://www.tennisabstract.com/cgi-bin/player.cgi?p=TallonGriekspoor
32,Brandon Nakashima,USA,2001-08-03,https://www.tennisabstract.com/cgi-bin/player.cgi?p=BrandonNakashima
33,Sebastian Korda,USA,2000-07-05,https://www.tennisabstract.com/cgi-bin/player.cgi?p=SebastianKorda
34,Alex Michelsen,USA,2004-08-25,https://www.tennisabstract.com/cgi-bin/player.cgi?p=AlexMichelsen
35,Gabriel Diallo,CAN,2001-09-24,https://www.tennisabstract.com/cgi-bin/player.cgi?p=GabrielDiallo
36,Jordan Thompson,AUS,1994-04-20,https://www.tennisabstract.com/cgi-bin/player.cgi?p=JordanThompson
37,Lorenzo Sonego,ITA,1995-05-11,https://www.tennisabstract.com/cgi-bin/player.cgi?p=LorenzoSonego
38,Hubert Hurkacz,POL,1997-02-11,https://www.tennisabstract.com/cgi-bin/player.cgi?p=HubertHurkacz
39,Alexandre Muller,FRA,1997-02-01,https://www.tennisabstract.com/cgi-bin/player.cgi?p=AlexandreMuller
