Player,Rank,Age,Elo,    ,HardRaw,ClayRaw,GrassRaw,    ,hElo,cElo,gElo,    ,Peak Match,Peak Age,Peak Elo,yElo
Ashleigh Barty,1,25.3,2198.1,,2057.1,1991.7,1873.2,,2127.6,2094.9,2035.6,,2021 Us Open R64,25.3,2220.8,2195.9
Naomi Osaka,2,23.9,2095.6,,2056.5,1668.3,1552.6,,2076.0,1881.9,1824.1,,2021 Miami R16,23.4,2200.6,1930.6
Aryna Sabalenka,3,23.3,2065.5,,1963.0,1806.3,1699.8,,2014.3,1935.9,1882.7,,2021 Rome R32,23.0,2128.7,2049.6
Barbora Krejcikova,4,25.7,2036.8,,1873.2,1849.8,1448.1,,1955.0,1943.3,1742.5,,2021 Us Open R16,25.7,2049.5,2111.0
Garbine Muguruza,5,28.0,2034.6,,1967.5,1861.8,1671.7,,2001.0,1948.2,1853.1,,2017 US Open R32,23.9,2110.8,2036.2
Maria Sakkari,6,26.2,2020.6,,1933.2,1788.0,1500.8,,1976.9,1904.3,1760.7,,2021 Us Open QF,26.1,2020.9,2051.9
Iga Swiatek,7,20.3,2014.0,,1838.4,1960.3,1583.5,,1926.2,1987.1,1798.8,,2021 Roland Garros R16,20.0,2093.6,1999.6
Ons Jabeur,8,27.1,2012.4,,1886.0,1710.4,1745.5,,1949.2,1861.4,1879.0,,2021 Chicago QF,27.1,2023.6,2042.9
Karolina Pliskova,9,29.4,2011.7,,1894.2,1852.3,1771.7,,1953.0,1932.0,1891.7,,2019 Wimbledon R32,27.3,2088.7,2039.3
Anett Kontaveit,10,25.8,2010.3,,1940.6,1720.6,1517.6,,1975.4,1865.5,1764.0,,2021 Chicago R64,25.8,2010.3,2075.8
Emma Raducanu,11,18.8,2005.4,,1938.0,1230.0,1468.1,,1971.7,1617.7,1736.8,,2021 Us Open F,18.8,2005.4,2056.6
Simona Halep,12,29.9,2005.4,,1884.9,1868.7,1702.7,,1945.1,1937.0,1854.1,,2015 Stuttgart QF,23.6,2180.2,1980.5
Petra Kvitova,13,31.5,2000.1,,1909.2,1858.5,1699.4,,1954.7,1929.3,1849.8,,2012 Sydney QF,21.8,2177.9,1943.2
Victoria Azarenka,14,32.2,1999.4,,1913.1,1678.9,1563.2,,1956.3,1839.2,1781.3,,2013 Indian Wells R16,23.6,2328.7,2015.9
Elina Svitolina,15,27.0,1997.3,,1918.8,1842.5,1535.0,,1958.1,1919.9,1766.2,,2018 Roland Garros R64,23.7,2114.4,1998.2
Elena Rybakina,16,22.3,1971.6,,1859.4,1694.9,1666.8,,1915.5,1833.2,1819.2,,2020 Dubai SF,20.7,2033.1,1993.3
Serena Williams,17,39.7,1965.6,,1887.1,1628.3,1595.5,,1926.3,1796.9,1780.5,,2003 Charleston SF,21.5,2515.7,1908.1
Jennifer Brady,18,26.3,1964.9,,1877.0,1601.3,1498.2,,1921.0,1783.1,1731.6,,2021 Australian Open SF,25.8,1995.8,1932.2
Danielle Rose Collins,19,27.8,1963.8,,1857.1,1715.2,1476.6,,1910.4,1839.5,1720.2,,2021 Chicago R16,27.8,1981.7,2016.4
Cori Gauff,20,17.5,1959.3,,1782.5,1818.3,1682.4,,1870.9,1888.8,1820.8,,2021 Roland Garros R16,17.2,2042.6,1951.4
Jessica Pegula,21,27.6,1946.0,,1881.1,1519.5,1410.1,,1913.5,1732.7,1678.0,,2021 Rome R16,27.2,1982.6,1954.3
Elise Mertens,22,25.9,1945.0,,1891.6,1778.2,1534.8,,1918.3,1861.6,1739.9,,2021 Madrid R16,25.4,2046.1,1887.5
Paula Badosa,23,23.8,1944.6,,1716.5,1845.1,1505.6,,1830.5,1894.9,1725.1,,2021 Us Open R128,23.8,1981.1,1989.9
Angelique Kerber,24,33.7,1944.4,,1813.1,1727.0,1839.1,,1878.8,1835.7,1891.7,,2016 Singapore SF,28.8,2145.4,1990.3
Belinda Bencic,25,24.6,1938.6,,1879.4,1636.9,1659.4,,1909.0,1787.7,1799.0,,2016 St. Petersburg SF,18.9,2123.0,1957.6
Marketa Vondrousova,26,22.3,1929.5,,1879.9,1724.1,1314.1,,1904.7,1826.8,1621.8,,2019 Roland Garros SF,19.9,2060.8,1976.8
Clara Tauson,27,18.7,1925.0,,1897.7,1548.1,1342.1,,1911.4,1736.6,1633.6,,2021 Luxembourg F,18.7,1925.0,1956.7
Karolina Muchova,28,25.0,1920.6,,1802.8,1644.2,1635.6,,1861.7,1782.4,1778.1,,2021 Australian Open QF,24.5,1997.9,1934.8
Darya Kasatkina,29,24.3,1918.8,,1845.9,1667.6,1626.2,,1882.4,1793.2,1772.5,,2018 Indian Wells SF,20.8,2047.6,1918.9
Camila Giorgi,30,29.7,1912.2,,1789.8,1622.6,1643.1,,1851.0,1767.4,1777.7,,2021 Montreal SF,29.6,1947.5,1969.6
Leylah Annie Fernandez,31,19.0,1911.0,,1867.5,1439.9,1397.4,,1889.2,1675.4,1654.2,,2021 Us Open SF,19.0,1927.9,1944.5
Jelena Ostapenko,32,24.3,1907.2,,1743.8,1682.0,1760.3,,1825.5,1794.6,1833.8,,2017 Wuhan QF,20.3,2022.4,1916.1
Anastasia Pavlyuchenkova,33,30.2,1903.0,,1787.7,1767.5,1481.6,,1845.3,1835.2,1692.3,,2011 Roland Garros R16,19.9,2066.0,1893.9
Sofia Kenin,34,22.6,1899.1,,1843.6,1651.9,1605.3,,1871.4,1775.5,1752.2,,2020 Fed Cup QLS R1,21.2,2050.3,1711.3
Kiki Bertens,35,29.6,1895.6,,1833.5,1835.6,1579.2,,1864.6,1865.6,1737.4,,2020 Doha R32,28.2,2047.5,
Sara Sorribes Tormo,36,25.0,1885.0,,1809.9,1653.6,1523.0,,1847.5,1769.3,1704.0,,2021 Us Open R64,24.9,1908.5,1910.8
Ludmilla Samsonova,37,22.8,1878.1,,1763.6,1425.1,1717.9,,1820.8,1651.6,1798.0,,2021 Wimbledon R32,22.6,1896.9,1905.3
Bianca Andreescu,38,21.3,1873.7,,1861.2,1549.3,1391.5,,1867.5,1711.5,1632.6,,2019 Beijing R16,19.3,2159.0,1810.2
Jil Belen Teichmann,39,24.2,1873.7,,1829.3,1631.5,1275.0,,1851.5,1752.6,1574.4,,2021 Chicago R32,24.2,1888.2,1920.4
