rank,player,country,birthdate,player_url
1,Carlos Alcaraz,ESP,2003-05-05,https://www.tennisabstract.com/cgi-bin/player.cgi?p=CarlosAlcaraz
2,Jannik Sinner,ITA,2001-08-16,https://www.tennisabstract.com/cgi-bin/player.cgi?p=JannikSinner
3,Alexander Zverev,GER,1997-04-20,https://www.tennisabstract.com/cgi-bin/player.cgi?p=AlexanderZverev
4,Novak Djokovic,SRB,1987-05-22,https://www.tennisabstract.com/cgi-bin/player.cgi?p=NovakDjokovic
5,Taylor Fritz,USA,1997-10-28,https://www.tennisabstract.com/cgi-bin/player.cgi?p=TaylorFritz
6,Ben Shelton,USA,2002-10-09,https://www.tennisabstract.com/cgi-bin/player.cgi?p=BenShelton
7,Jack Draper,GBR,2001-12-22,https://www.tennisabstract.com/cgi-bin/player.cgi?p=JackDraper
8,Alex De Minaur,AUS,1999-02-17,https://www.tennisabstract.com/cgi-bin/player.cgi?p=AlexDeMinaur
9,Lorenzo Musetti,ITA,2002-03-03,https://www.tennisabstract.com/cgi-bin/player.cgi?p=LorenzoMusetti
10,Karen Khachanov,RUS,1996-05-21,https://www.tennisabstract.com/cgi-bin/player.cgi?p=KarenKhachanov
11,Holger Rune,DEN,2003-04-29,https://www.tennisabstract.com/cgi-bin/player.cgi?p=HolgerRune
12,Casper Ruud,NOR,1998-12-22,https://www.tennisabstract.com/cgi-bin/player.cgi?p=CasperRuud
13,Felix Auger Aliassime,CAN,2000-08-08,https://www.tennisabstract.com/cgi-bin/player.cgi?p=FelixAugerAliassime
14,Andrey Rublev,RUS,1997-10-20,https://www.tennisabstract.com/cgi-bin/player.cgi?p=AndreyRublev
15,Tommy Paul,USA,1997-05-17,https://www.tennisabstract.com/cgi-bin/player.cgi?p=TommyPaul
16,Jiri Lehecka,CZE,2001-11-08,https://www.tennisabstract.com/cgi-bin/player.cgi?p=JiriLehecka
17,Jakub Mensik,CZE,2005-09-01,https://www.tennisabstract.com/cgi-bin/player.cgi?p=JakubMensik
18,Daniil Medvedev,RUS,1996-02-11,https://www.tennisabstract.com/cgi-bin/player.cgi?p=DaniilMedvedev
19,Alexander Bublik,KAZ,1997-06-17,https://www.tennisabstract.com/cgi-bin/player.cgi?p=AlexanderBublik
20,Alejandro Davidovich Fokina,ESP,1999-06-05,https://www.tennisabstract.com/cgi-bin/player.cgi?p=AlejandroDavidovichFokina
21,Francisco Cerundolo,ARG,1998-08-13,https://www.tennisabstract.com/cgi-bin/player.cgi?p=FranciscoCerundolo
22,Tomas Machac,CZE,2000-10-13,https://www.tennisabstract.com/cgi-bin/player.cgi?p=TomasMachac
23,Arthur Fils,FRA,2004-06-12,https://www.tennisabstract.com/cgi-bin/player.cgi?p=ArthurFils
24,Ugo Humbert,FRA,1998-06-26,https://www.tennisabstract.com/cgi-bin/player.cgi?p=UgoHumbert
25,Flavio Cobolli,ITA,2002-05-06,https://www.tennisabstract.com/cgi-bin/player.cgi?p=FlavioCobolli
26,Denis Shapovalov,CAN,1999-04-15,https://www.tennisabstract.com/cgi-bin/player.cgi?p=DenisShapovalov
27,Stefanos Tsitsipas,GRE,1998-08-12,https://www.tennisabstract.com/cgi-bin/player.cgi?p=StefanosTsitsipas
28,Grigor Dimitrov,BUL,1991-05-16,https://www.tennisabstract.com/cgi-bin/player.cgi?p=GrigorDimitrov
29,Frances Tiafoe,USA,1998-01-20,https://www.tennisabstract.com/cgi-bin/player.cgi?p=FrancesTiafoe
30,Luciano Darderi,ITA,2002-02-14,https://www.tennisabstract.com/cgi-bin/player.cgi?p=LucianoDarderi
31,Tallon Griekspoor,NED,1996-07-02,https://www.tennisabstract.com/cgi-bin/player.cgi?p=TallonGriekspoor
32,Alex Michelsen,USA,2004-08-25,https://www.tennisabstract.com/cgi-bin/player.cgi?p=AlexMichelsen
33,Brandon Nakashima,USA,2001-08-03,https://www.tennisabstract.com/cgi-bin/player.cgi?p=BrandonNakashima
34,Cameron Norrie,GBR,1995-08-23,https://www.tennisabstract.com/cgi-bin/player.cgi?p=CameronNorrie
35,Gabriel Diallo,CAN,2001-09-24,https://www.tennisabstract.com/cgi-bin/player.cgi?p=GabrielDiallo
36,Giovanni Mpetshi Perricard,FRA,2003-07-08,https://www.tennisabstract.com/cgi-bin/player.cgi?p=GiovanniMpetshiPerricard
37,Jaume Munar,ESP,1997-05-05,https://www.tennisabstract.com/cgi-bin/player.cgi?p=JaumeMunar
38,Alexandre Muller,FRA,1997-02-01,https://www.tennisabstract.com/cgi-bin/player.cgi?p=AlexandreMuller
39,Corentin Moutet,FRA,1999-04-19,https://www.tennisabstract.com/cgi-bin/player.cgi?p=CorentinMoutet
40,Alexei Popyrin,AUS,1999-08-05,https://www.tennisabstract.com/cgi-bin/player.cgi?p=AlexeiPopyrin
