Player,Rank,Age,Elo,    ,HardRaw,ClayRaw,GrassRaw,    ,hElo,cElo,gElo,    ,Peak Match,Peak Age,Peak Elo,yElo
Novak Djokovic,1,35.0,2187.8,,2054.2,2023.2,1976.6,,2121.0,2105.5,2082.2,,2016 Miami F,28.8,2469.9,2184.4
Alexander Zverev,2,25.0,2133.8,,2015.4,2044.2,1671.4,,2074.6,2089.0,1902.6,,2022 Atp Cup RR,24.7,2162.2,2122.5
Carlos Alcaraz,3,19.2,2117.5,,1978.3,2016.8,1572.5,,2047.9,2067.1,1845.0,,2022 Roland Garros R16,19.0,2223.5,2097.8
Rafael Nadal,4,36.1,2103.8,,1925.0,1978.5,1630.2,,2014.4,2041.1,1867.0,,2009 Madrid SF,22.9,2369.9,2190.3
Jannik Sinner,5,20.9,2066.6,,1940.2,1957.8,1543.4,,2003.4,2012.2,1805.0,,2022 Canada R32,20.9,2104.3,2062.7
Stefanos Tsitsipas,6,24.0,2042.5,,1908.7,2040.4,1672.8,,1975.6,2041.4,1857.6,,2021 Roland Garros SF,22.8,2135.0,2017.5
Daniil Medvedev,7,26.5,2036.1,,1973.0,1694.0,1735.2,,2004.5,1865.0,1885.6,,2022 Australian Open SF,25.9,2192.4,2026.4
Nick Kyrgios,8,27.3,2024.4,,1863.8,1534.2,1758.1,,1944.1,1779.3,1891.2,,2017 Cincinnati SF,22.2,2088.8,2090.2
Casper Ruud,9,23.6,2011.0,,1872.8,1966.5,1426.7,,1941.9,1988.8,1718.8,,2022 Roland Garros SF,23.4,2064.3,1986.8
Matteo Berrettini,10,26.3,2010.8,,1778.1,1885.4,1954.0,,1894.5,1948.1,1982.4,,2022 Gstaad SF,26.2,2073.0,1961.6
Cameron Norrie,11,26.9,2002.2,,1901.3,1834.5,1660.8,,1951.8,1918.4,1831.5,,2022 Cincinnati QF,26.9,2018.6,2020.6
Taylor Fritz,12,24.7,1976.3,,1904.3,1686.5,1663.6,,1940.3,1831.4,1820.0,,2022 Cincinnati R16,24.7,1985.7,2007.5
Hubert Hurkacz,13,25.5,1967.7,,1867.2,1743.3,1753.5,,1917.4,1855.5,1860.6,,2022 Canada SF,25.4,1998.5,1973.0
Andrey Rublev,14,24.8,1960.0,,1900.1,1843.3,1612.0,,1930.1,1901.6,1786.0,,2021 Monte Carlo SF,23.4,2106.7,1897.1
Felix Auger Aliassime,15,22.0,1943.2,,1895.3,1785.0,1687.9,,1919.2,1864.1,1815.6,,2022 Marseille SF,21.5,2032.8,1932.0
Pablo Carreno Busta,16,31.0,1932.3,,1856.8,1821.6,1480.5,,1894.6,1877.0,1706.4,,2021 Winston-Salem R16,30.1,2002.0,1952.2
Roberto Bautista Agut,17,34.3,1918.2,,1815.1,1697.3,1753.4,,1866.6,1807.7,1835.8,,2016 Rotterdam R16,27.8,2014.5,1957.3
Marin Cilic,18,33.8,1911.3,,1773.6,1781.8,1785.1,,1842.5,1846.6,1848.2,,2010 Dubai R16,21.4,2094.3,1955.7
Alex De Minaur,19,23.4,1907.3,,1815.4,1600.2,1652.0,,1861.3,1753.8,1779.6,,2020 Atp Cup RR,20.8,1993.3,1923.6
Borna Coric,20,25.7,1905.7,,1862.7,1731.1,1620.4,,1884.2,1818.4,1763.0,,2019 Australian Open R32,22.1,1999.0,2007.2
Sebastian Korda,21,22.1,1893.4,,1798.4,1718.2,1580.6,,1845.9,1805.8,1737.0,,2022 Australian Open R64,21.5,1945.3,1875.6
Botic Van De Zandschulp,22,26.8,1886.5,,1762.0,1731.1,1584.3,,1824.2,1808.8,1735.4,,2022 Winston-Salem QF,26.8,1907.0,1889.4
Diego Schwartzman,23,29.9,1885.7,,1798.4,1848.9,1461.4,,1842.0,1867.3,1673.6,,2020 Paris R16,28.2,1973.0,1828.7
Grigor Dimitrov,24,31.2,1883.9,,1767.8,1792.2,1517.6,,1825.9,1838.0,1700.8,,2014 Canada QF,23.2,2090.3,1831.6
Gael Monfils,25,35.9,1883.6,,1836.3,1538.2,1419.8,,1859.9,1710.9,1651.7,,2015 Monte Carlo QF,28.6,2067.6,1932.9
